layer_num	epochs	epochs_run	learning_rate	train_error	valid_error	fpr	tpr
3	1000	999	0.001	0.23011123595505617	0.17133507462686567	"[0.         0.00143678 0.00574713 0.00718391 0.00718391 0.01005747
 0.02155172 0.02155172 0.02298851 0.02729885 0.02873563 0.03017241
 0.03448276 0.03591954 0.04022989 0.04597701 0.04885057 0.05747126
 0.06034483 0.06465517 0.06896552 0.07183908 0.08189655 0.08477011
 0.09195402 0.09770115 0.10488506 0.12212644 0.13936782 0.15804598
 0.15948276 0.17816092 0.18965517 0.21408046 0.24281609 0.29597701
 0.36781609 0.45689655 0.64511494 1.        ]"	"[0.         0.         0.         0.         0.00512821 0.00512821
 0.00512821 0.01025641 0.01025641 0.01025641 0.01025641 0.01538462
 0.02051282 0.02051282 0.02564103 0.03076923 0.03076923 0.03076923
 0.03076923 0.03589744 0.04615385 0.04615385 0.05641026 0.06666667
 0.07692308 0.07692308 0.08205128 0.09230769 0.0974359  0.1025641
 0.11282051 0.14358974 0.17435897 0.18974359 0.22564103 0.27179487
 0.32820513 0.39487179 0.53846154 1.        ]"
6	1000	999	0.001	0.16711187800963084	0.15716865671641791	"[0.         0.         0.         0.00287356 0.00431034 0.00431034
 0.00718391 0.00862069 0.01149425 0.01149425 0.01293103 0.02586207
 0.03591954 0.05316092 0.08908046 0.125      0.15086207 0.23275862
 0.33045977 0.48850575 0.66954023 0.83764368 0.9683908  1.        ]"	"[0.02051282 0.03589744 0.04102564 0.05128205 0.07179487 0.08717949
 0.0974359  0.12820513 0.14871795 0.18461538 0.22051282 0.24615385
 0.26153846 0.27179487 0.2974359  0.34871795 0.37435897 0.4
 0.45128205 0.52820513 0.62051282 0.75384615 0.93846154 1.        ]"
20	1000	999	0.001	0.1644629213483146	0.18634738805970152	[0. 1.]	[0. 1.]
3	1000	999	0.01	0.20886420545746387	0.23851604477611943	"[0.         0.00143678 0.00143678 0.00431034 0.00574713 0.01293103
 0.0158046  0.02442529 0.02873563 0.0316092  0.0387931  0.04741379
 0.06034483 0.07183908 0.09770115 0.15517241 0.28591954 1.        ]"	"[0.         0.         0.00512821 0.00512821 0.01025641 0.01025641
 0.01025641 0.01025641 0.01025641 0.01025641 0.01538462 0.01538462
 0.01538462 0.01538462 0.03589744 0.04615385 0.15384615 1.        ]"
6	1000	999	0.01	0.1588857142857143	0.15568694029850746	"[0.         0.00574713 0.0158046  0.0158046  0.02442529 0.02586207
 0.04166667 0.05890805 0.08333333 0.11206897 0.15229885 0.18103448
 0.21982759 0.24712644 0.29885057 0.35775862 0.42097701 0.47701149
 0.52873563 0.57614943 0.62212644 0.66522989 0.71264368 0.77298851
 0.82902299 0.87931034 0.93965517 0.99712644 1.        ]"	"[0.         0.         0.00512821 0.02051282 0.04615385 0.12307692
 0.16410256 0.21538462 0.27179487 0.30769231 0.36923077 0.43589744
 0.49230769 0.55384615 0.62564103 0.70769231 0.75384615 0.81538462
 0.85641026 0.87692308 0.91282051 0.93846154 0.95384615 0.97435897
 0.97948718 1.         1.         1.         1.        ]"
20	1000	999	0.01	0.1761219903691814	0.15910000000000002	[0. 1.]	[0. 1.]
3	1000	999	0.1	0.13424783306581056	0.10543097014925372	"[0.         0.         0.         0.00143678 0.00143678 0.00287356
 0.00287356 0.00574713 0.00718391 0.00718391 0.00862069 0.01293103
 0.01293103 0.01436782 0.01436782 0.0158046  0.0158046  0.0158046
 0.02011494 0.02298851 0.02298851 0.02729885 0.02729885 0.02729885
 0.02729885 0.02873563 0.0316092  0.03448276 0.03448276 0.03448276
 0.03735632 0.04741379 0.0545977  0.05747126 0.06321839 0.0704023
 0.07471264 0.07614943 0.08333333 0.08764368 0.09626437 0.10632184
 0.11063218 0.12068966 0.12643678 0.13218391 0.13649425 0.15086207
 0.16091954 0.16522989 0.17385057 0.19109195 0.19971264 0.20689655
 0.22126437 0.23850575 0.24856322 0.25862069 0.27011494 0.27729885
 0.3045977  0.31034483 0.33045977 0.34626437 0.37787356 0.4066092
 0.43390805 0.46982759 0.50718391 0.55172414 0.61063218 0.67097701
 0.73563218 0.81752874 0.89224138 0.99856322 1.        ]"	"[0.00512821 0.01538462 0.05641026 0.05641026 0.06153846 0.07179487
 0.09230769 0.09230769 0.1025641  0.11282051 0.11794872 0.12820513
 0.14358974 0.15897436 0.17435897 0.18461538 0.20512821 0.21538462
 0.24102564 0.26666667 0.27179487 0.27692308 0.28205128 0.29230769
 0.31282051 0.31794872 0.32820513 0.34871795 0.37435897 0.40512821
 0.42051282 0.43076923 0.43076923 0.45128205 0.46666667 0.48205128
 0.48717949 0.4974359  0.51282051 0.51794872 0.53846154 0.55384615
 0.55384615 0.56410256 0.56410256 0.57948718 0.58461538 0.59487179
 0.60512821 0.61538462 0.63076923 0.65128205 0.67179487 0.68717949
 0.71794872 0.73333333 0.74871795 0.75384615 0.76923077 0.8
 0.81538462 0.84102564 0.85641026 0.87179487 0.88205128 0.90769231
 0.90769231 0.92307692 0.92820513 0.92820513 0.94358974 0.94871795
 0.95897436 0.98974359 0.99487179 1.         1.        ]"
6	1000	999	0.1	0.17235457463884432	0.16750485074626867	[0. 1.]	[0. 1.]
20	1000	999	0.1	0.16567993579454254	0.18461902985074627	[0. 1.]	[0. 1.]
3	1000	999	1.0	0.15212728731942216	0.16926044776119403	[0.         0.2816092  0.4612069  0.57183908 1.        ]	[0.         0.68205128 0.85128205 0.8974359  1.        ]
6	1000	999	1.0	0.1732534510433387	0.15069179104477615	[0.         0.09051724 0.09195402 1.        ]	[0.         0.9025641  0.91794872 1.        ]
20	1000	999	1.0	0.17307720706260032	0.16901119402985076	[0. 1.]	[0. 1.]
